[00:17] アンチトークも売ってますよ。
[00:19] そうなんですか。初めて見たなぁ。
[00:24] 1日何時間喋るのか、スペシャルプラン、お金も貼らないんですね。
[00:33] サブスクみたいな感じでしたよね、確か。
[00:37] これひも人がいっぱい出てくるから、これこれこれ。
[00:42] 右側も。
[00:49] 1日何時間しか喋れんとか。
[00:54] 20分。
[00:56] 上で切れちゃうから、うち側のやつ。
[00:58] なんとか売れるやつなの。
[01:01] これが1日1時間しか喋らなかったから。
[01:04] 10分。
[01:08] 値段を使うよ。
[01:16] 洋服が出て、洋服を着せ替えして。
[01:19] 本体プラス。
[01:21] この二字を押せとこう。
[01:27] ペットを買うとお前が安いんだろうね、間違いなく。
[01:32] 病気ならんしね。
[01:35] 病気ならんだよ。
[01:39] これで十分だよ。
[01:42] ペット覚えてないから。
[01:47] そういうこと。
[01:51] ぜひ買ってほしいですね。
[01:54] 食べられないからそんなに。
[01:57] おかしいな、毎日毎日。
[01:58] 確かに。
[02:00] お前は買ってきちゃうけど。
[02:02] 100億円くらいベストだったらみんな恥ずかしいなって思います。
[02:06] 一人で暮らしとると思うと、家から喋り声が聞こえた。
[02:10] 充電が張ったらザブとドレなのですよ。
[02:13] そうなんですか。
[02:16] 考えてますね。
[02:20] そっちの方が可愛いですよね。
[02:24] ザブとドレなのか、今度か、お花見の桜がそこにすすわれる。
[02:31] 買えた方がいいですよ。
[02:36] 買ってそうですよね。
[02:41] 今日は買えた方がいいですよ。
[02:45] 買えた方がいいですか。
[02:46] 買えた方がいいですよ。
[02:48] いろんな方が間に合わないんだけど。
[02:50] 間に合わないっていう感じでいいですか?
[02:53] やったんだけど、営業の部分はまだ便利になりました。
[02:59] それ以外のことは決まった。
[03:02] 映画もまだ、まだ決まってないという。
[03:04] そうです。でも間に合ってないですね。
[03:07] 合わせた。
[03:08] そうです。
[03:11] 確かに。本当に平気にやるからな、あいつは。
[03:20] 山崎、すげえ曲がってた、迷信。
[03:22] 曲がってた?
[03:23] 岩崎さんのやつ。
[03:24] 岩崎さんのやつ。
[03:26] 岩崎さんのやつ、とんでもなく曲がってた。
[03:29] 人によるんじゃないのかね。
[03:31] 人によるってば、バラつきかもしれない。
[03:34] 正確が曲がっていると、曲がるやつ。
[03:40] 確かに、曲がるやつ。
[03:43] フーラーの数であおられてる。
[03:48] どこにしててんだ?
[03:50] これ置いといたらいいのかな?
[03:53] それはやっと気にしてます。
[03:57] それもいいかな。
